u-r color,Mr luminosity,log10density,redshift,velocity of dispersion of host cluster (-99 if not in a cluster)
2.269,-20.54,0.2423,0.05107,-99
1.68,-20.41,0.06417,0.05103,-99
2.084,-20.25,-0.7295,0.06263,-99
2.514,-22,0.2694,0.07953,-99
1.722,-20.78,0.3226,0.07921,-99
1.331,-20.06,0.3152,0.07996,-99
1.792,-20.71,0.3588,0.07986,-99
2.103,-20.05,-0.05337,0.06877,-99
1.629,-20.67,-0.7584,0.06885,-99
2.048,-20.7,-0.369,0.07752,-99
1.785,-19.3,-0.6811,0.0503,-99
1.617,-20.71,-0.1983,0.07606,-99
1.825,-20.46,-0.2512,0.0288,704.2
2.4,-20.44,-0.09031,0.07609,-99
1.934,-20.67,-0.2655,0.0764,-99
1.256,-20.58,-0.1477,0.07604,-99
1.24,-20.3,-0.4726,0.07638,-99
1.764,-20.81,-0.6378,0.06989,-99
2.157,-19.15,-0.1512,0.03739,902.6
2.455,-21.35,-0.7091,0.05637,-99
2.68,-21.51,-0.6554,0.05073,-99
1.382,-20.18,-0.4351,0.07671,-99
2.098,-19.93,-0.5853,0.0561,-99
1.248,-19.27,-0.5103,0.07794,-99
1.336,-19.26,-0.2374,0.05026,-99
2.525,-21.83,-0.5635,0.05099,-99
1.857,-19.45,-0.2988,0.05033,-99
1.987,-20.15,-0.5956,0.05082,-99
2.063,-18.62,-0.1024,0.0509,-99
2.295,-19.61,-0.3203,0.05115,-99
1.518,-20.43,-1.126,0.07856,-99
2.49,-22.36,-0.9449,0.07777,-99
2.388,-20.99,-0.9158,0.07846,-99
1.853,-20.33,-0.9061,0.07371,287.2
2.745,-22.53,-0.6606,0.02934,704.2
2.64,-21.08,-0.2851,0.03761,902.6
1.712,-20.37,-1.424,0.07825,-99
0.8608,-19.53,-0.3884,0.03789,902.6
1.242,-18.62,-0.2993,0.03754,902.6
1.726,-19.28,-0.5605,0.02842,704.2
2.289,-20.76,-0.501,0.07349,287.2
2.374,-21.67,-0.3314,0.07165,287.2
1.646,-21.2,-0.2709,0.05286,-99
1.204,-19.48,-0.1774,0.05126,-99
2.389,-21.21,-0.6041,0.05295,-99
2.562,-21.3,-0.7415,0.07141,-99
1.461,-19.3,-0.1508,0.0518,-99
2.256,-21.01,-0.4156,0.03744,902.6
2.352,-19.93,-0.1365,0.05499,-99
1.652,-19.93,-0.8237,0.07176,-99
1.541,-19.97,-0.7727,0.07357,-99
2.037,-19.62,-0.4659,0.05216,-99
1.579,-20.74,-0.3873,0.05232,-99
0.5263,-20.46,-0.3522,0.05293,-99
2.345,-22.09,-0.9415,0.05809,-99
1.336,-20.69,-0.5074,0.03427,-99
1.953,-19.3,0.007826,0.03993,1607
1.473,-20.6,0.1012,0.05298,-99
1.517,-20.2,-0.4507,0.05282,-99
1.839,-20.4,-0.3552,0.03935,1607
1.701,-20.61,-0.8255,0.0575,-99
1.501,-19.58,-0.4043,0.02787,704.2
2.312,-21.02,-0.5294,0.0391,902.6
1.629,-19.09,-0.184,0.03754,902.6
1.37,-20.54,1.004,0.05334,-99
0.9874,-20.24,0.6467,0.05244,-99
0.9321,-18.58,-0.4711,0.03947,1607
1.279,-20.28,-0.1538,0.07663,-99
2.161,-21.62,0.06582,0.05049,-99
2.283,-20.78,-0.2628,0.07698,-99
2.554,-21.64,0.09144,0.0761,-99
1.414,-20.03,-1.016,0.05712,-99
2.373,-18.68,-0.7028,0.05042,-99
1.898,-20.56,-0.1779,0.07343,-99
1.69,-20.07,-0.6179,0.05434,-99
2.325,-21.84,-0.5558,0.0539,-99
1.54,-19.61,-0.628,0.03733,902.6
1.984,-20.03,-0.8207,0.03776,902.6
2.215,-21.42,-0.3185,0.05374,-99
2.323,-20.75,-0.4082,0.07179,287.2
1.25,-19.48,-0.1765,0.05496,-99
1.936,-18.24,-0.2689,0.05032,-99
1.321,-20.19,-11.01,0.0581,-99
2.236,-20.48,0.01209,0.05315,-99
0.9716,-19.72,-0.09421,0.05487,-99
2.261,-20.16,0.3392,0.05051,-99
1.872,-19.66,-11.27,0.06354,-99
2.056,-20.41,0.4477,0.05034,-99
2.17,-18.68,-0.7774,0.03846,902.6
1.593,-20.3,-0.4027,0.0719,287.2
1.673,-19.61,-0.8467,0.03879,902.6
1.464,-19.94,0.3859,0.05028,-99
2.571,-22.03,-0.3687,0.07107,-99
2.411,-20.79,-0.2368,0.07115,287.2
1.568,-20.01,-0.04311,0.05062,-99
2.382,-22.64,-0.2617,0.07245,287.2
2.484,-21.69,-0.4273,0.05444,-99
2.223,-22.47,-1.27,0.06301,-99
2.135,-20.81,-0.07895,0.07172,287.2
2.148,-21.74,-0.3827,0.06965,-99
1.611,-21.22,-0.3055,0.07021,-99
1.62,-20.8,-0.1141,0.07975,-99
2.31,-20.45,-0.2457,0.07101,287.2
2.647,-23.6,-0.2251,0.07128,287.2
2.786,-24.94,1.56,0.07125,-99
2.425,-20.15,0.8637,0.07281,-99
2.282,-19.82,1.116,0.06837,-99
2.365,-20.48,0.8984,0.0726,-99
1.726,-20.29,0.9017,0.0723,-99
1.314,-20.19,-0.8905,0.0713,-99
2.435,-21.79,-0.5594,0.05343,-99
0.729,-18.72,-0.646,0.05285,-99
2.374,-20.74,0.2831,0.0735,287.2
1.327,-18.08,-0.3013,0.02904,704.2
